文件名,完整路径,所在目录,文件大小(B),文件大小(可读),修改时间
QCDT-GYYHPC 1119-2023.ZY01上导轴承检修作业指导书.docx,/data2/统计包含关键词的文件/final/QCDT-GYYHPC 1119-2023.ZY01上导轴承检修作业指导书.docx,/data2/统计包含关键词的文件/final,83872,81.91 KB,2023-12-24 14:20:46
HJ 443-2008 清洁生产标准 石油炼制业(沥青)（发布稿）.pdf,/data2/统计包含关键词的文件/final/HJ 443-2008 清洁生产标准 石油炼制业(沥青)（发布稿）.pdf,/data2/统计包含关键词的文件/final,230881,225.47 KB,2025-02-28 16:11:28
QCDT-GYYHPC 103064-2022  3号机附属电动机试验作业指导书（杨浩）.pdf,/data2/统计包含关键词的文件/final/QCDT-GYYHPC 103064-2022  3号机附属电动机试验作业指导书（杨浩）.pdf,/data2/统计包含关键词的文件/final,682621,666.62 KB,2023-01-17 16:30:04
12.2023年中级安全工程师《法规》基础直播阶段测试卷.pdf,/data2/统计包含关键词的文件/final/12.2023年中级安全工程师《法规》基础直播阶段测试卷.pdf,/data2/统计包含关键词的文件/final,910836,889.49 KB,2025-03-17 14:57:20
RCS-985RE注入式发电机转子接地保护装置技术和使用说明书(ZL_YJBH2007.0905).pdf,/data2/统计包含关键词的文件/final/RCS-985RE注入式发电机转子接地保护装置技术和使用说明书(ZL_YJBH2007.0905).pdf,/data2/统计包含关键词的文件/final,526184,513.85 KB,2010-03-29 15:10:32
国家安全监管总局关于加强化工安全仪表系统管理的指导意见.docx,/data2/统计包含关键词的文件/final/国家安全监管总局关于加强化工安全仪表系统管理的指导意见.docx,/data2/统计包含关键词的文件/final,15140,14.79 KB,2025-11-17 09:15:31
精讲__入门导读-法规2__主讲_冀琳彦.pdf,/data2/统计包含关键词的文件/final/精讲__入门导读-法规2__主讲_冀琳彦.pdf,/data2/统计包含关键词的文件/final,876294,855.76 KB,2025-03-17 13:36:56
QCDT-GYYHPC 1088-2022 通风空调软水处理控制系统检修规程.pdf,/data2/统计包含关键词的文件/final/QCDT-GYYHPC 1088-2022 通风空调软水处理控制系统检修规程.pdf,/data2/统计包含关键词的文件/final,303337,296.23 KB,2022-11-15 19:18:52
GBT 27867-2011 石油液体管线自动取样法.pdf,/data2/统计包含关键词的文件/final/GBT 27867-2011 石油液体管线自动取样法.pdf,/data2/统计包含关键词的文件/final,1370540,1.31 MB,2025-11-17 10:19:11
JB-T 6174-1992 仪器仪表功能电路板老化工艺规范.pdf,/data2/统计包含关键词的文件/final/JB-T 6174-1992 仪器仪表功能电路板老化工艺规范.pdf,/data2/统计包含关键词的文件/final,95156,92.93 KB,2024-03-28 16:56:09
QCDT-GYYHPC 1119-2023.ZY08 尾水肘管进人门封闭作业指导书.docx,/data2/统计包含关键词的文件/final/QCDT-GYYHPC 1119-2023.ZY08 尾水肘管进人门封闭作业指导书.docx,/data2/统计包含关键词的文件/final,65759,64.22 KB,2024-01-25 10:10:52
GB+26875.1-2011.pdf,/data2/统计包含关键词的文件/final/GB+26875.1-2011.pdf,/data2/统计包含关键词的文件/final,465319,454.41 KB,2025-02-11 18:51:19
GBT 44187-2024 危险货物  无整体爆炸危险的极端不敏感物品缓慢升温试验方法.pdf,/data2/统计包含关键词的文件/final/GBT 44187-2024 危险货物  无整体爆炸危险的极端不敏感物品缓慢升温试验方法.pdf,/data2/统计包含关键词的文件/final,567245,553.95 KB,2025-03-04 12:23:56
QCDT-GYYHPC 103351-2022 3号机励磁盘柜灭磁开关、隔离刀闸、励磁电缆检修作业指导书.pdf,/data2/统计包含关键词的文件/final/QCDT-GYYHPC 103351-2022 3号机励磁盘柜灭磁开关、隔离刀闸、励磁电缆检修作业指导书.pdf,/data2/统计包含关键词的文件/final,383346,374.36 KB,2023-01-17 15:33:24
观音岩水电站2022年4号水轮发电机组及其附属设备C级检修管理手册.docx,/data2/统计包含关键词的文件/final/观音岩水电站2022年4号水轮发电机组及其附属设备C级检修管理手册.docx,/data2/统计包含关键词的文件/final,2773060,2.64 MB,2021-08-17 08:39:50
压水堆核电厂用其他材料  第8部分：镍-铬-铁合金热挤压管.pdf,/data2/统计包含关键词的文件/final/压水堆核电厂用其他材料  第8部分：镍-铬-铁合金热挤压管.pdf,/data2/统计包含关键词的文件/final,1698416,1.62 MB,2025-02-17 19:08:57
QCDT-GYYHPC 1162-2022 水工技术监督规程.pdf,/data2/统计包含关键词的文件/final/QCDT-GYYHPC 1162-2022 水工技术监督规程.pdf,/data2/统计包含关键词的文件/final,703939,687.44 KB,2022-11-15 12:02:36
GB 18384-2020 电动汽车安全要求.pdf,/data2/统计包含关键词的文件/final/GB 18384-2020 电动汽车安全要求.pdf,/data2/统计包含关键词的文件/final,1376830,1.31 MB,2024-09-25 10:34:47
GYY-EC-2023-#4G-上-09+4号主变冷却系统控制回路检修报告.pdf,/data2/统计包含关键词的文件/final/GYY-EC-2023-#4G-上-09+4号主变冷却系统控制回路检修报告.pdf,/data2/统计包含关键词的文件/final,253331,247.39 KB,2023-07-25 16:34:46
DTSDY／ZX-JD-079-2021 大唐观音岩水电开发有限公司2021年下半年技术监控动态检查报告.pdf,/data2/统计包含关键词的文件/final/DTSDY／ZX-JD-079-2021 大唐观音岩水电开发有限公司2021年下半年技术监控动态检查报告.pdf,/data2/统计包含关键词的文件/final,3063901,2.92 MB,2021-11-15 13:50:34
GB+40554.1-2021.pdf,/data2/统计包含关键词的文件/final/GB+40554.1-2021.pdf,/data2/统计包含关键词的文件/final,2251118,2.15 MB,2025-02-11 19:25:12
AQ 6103-2007 焊工防护手套.pdf,/data2/统计包含关键词的文件/final/AQ 6103-2007 焊工防护手套.pdf,/data2/统计包含关键词的文件/final,700016,683.61 KB,2025-02-28 17:24:20
GYY-EC-2023-#4G-上-05+4号机发电机辅助控制系统检修报告.pdf,/data2/统计包含关键词的文件/final/GYY-EC-2023-#4G-上-05+4号机发电机辅助控制系统检修报告.pdf,/data2/统计包含关键词的文件/final,284207,277.55 KB,2023-07-25 16:33:42
NB_T 31013-2019 双馈风力发电机技术规范.pdf,/data2/统计包含关键词的文件/final/NB_T 31013-2019 双馈风力发电机技术规范.pdf,/data2/统计包含关键词的文件/final,1179868,1.13 MB,2025-09-03 12:10:38
GYY-EC-2022-#2G-上-05 2号机发电机辅助控制系统报告.pdf,/data2/统计包含关键词的文件/final/GYY-EC-2022-#2G-上-05 2号机发电机辅助控制系统报告.pdf,/data2/统计包含关键词的文件/final,293205,286.33 KB,2022-01-19 10:51:16
GYY-EC-2023-#2G-下-07+2号机技术供水控制系统检修报告.pdf,/data2/统计包含关键词的文件/final/GYY-EC-2023-#2G-下-07+2号机技术供水控制系统检修报告.pdf,/data2/统计包含关键词的文件/final,302434,295.35 KB,2023-06-17 00:00:00
GBT 44429-2024 风险管理 大科学装置 总则.pdf,/data2/统计包含关键词的文件/final/GBT 44429-2024 风险管理 大科学装置 总则.pdf,/data2/统计包含关键词的文件/final,2193012,2.09 MB,2025-03-04 12:24:16
HGT 20505-2014 过程测量与控制仪表的功能标志及图形符号.pdf,/data2/统计包含关键词的文件/final/HGT 20505-2014 过程测量与控制仪表的功能标志及图形符号.pdf,/data2/统计包含关键词的文件/final,5197539,4.96 MB,2025-02-28 16:25:16
GB 29436.1-2012_甲醇单位产品能源消耗限额第1部分：煤制甲醇.pdf,/data2/统计包含关键词的文件/final/GB 29436.1-2012_甲醇单位产品能源消耗限额第1部分：煤制甲醇.pdf,/data2/统计包含关键词的文件/final,382001,373.05 KB,2024-05-30 09:07:20
HJ 1132-2020 固定污染源废气  氮氧化物的测定 便携式紫外吸收法.pdf,/data2/统计包含关键词的文件/final/HJ 1132-2020 固定污染源废气  氮氧化物的测定 便携式紫外吸收法.pdf,/data2/统计包含关键词的文件/final,469118,458.12 KB,2025-02-21 11:20:27
GB+25518-2010.pdf,/data2/统计包含关键词的文件/final/GB+25518-2010.pdf,/data2/统计包含关键词的文件/final,577658,564.12 KB,2025-02-11 18:46:13
水电自动装置检修 中 水电厂岗位模块培训教材.pdf,/data2/统计包含关键词的文件/final/水电自动装置检修 中 水电厂岗位模块培训教材.pdf,/data2/统计包含关键词的文件/final,84427488,80.52 MB,2025-09-03 11:21:27
1号机快速闸门控制系统检修报告（含质量验收卡）.pdf,/data2/统计包含关键词的文件/final/1号机快速闸门控制系统检修报告（含质量验收卡）.pdf,/data2/统计包含关键词的文件/final,691248,675.05 KB,2023-12-25 10:20:56
2号机组流道充水及各冷却供水系统通水试验方案（2022.10.08改）.docx,/data2/统计包含关键词的文件/final/2号机组流道充水及各冷却供水系统通水试验方案（2022.10.08改）.docx,/data2/统计包含关键词的文件/final,85865,83.85 KB,2022-10-09 10:54:06
JJG 984-2004 接地导通电阻测试仪检定规程.pdf,/data2/统计包含关键词的文件/final/JJG 984-2004 接地导通电阻测试仪检定规程.pdf,/data2/统计包含关键词的文件/final,1528198,1.46 MB,2025-02-21 11:26:10
GB+29364-2012.pdf,/data2/统计包含关键词的文件/final/GB+29364-2012.pdf,/data2/统计包含关键词的文件/final,437019,426.78 KB,2025-02-11 18:58:32
DLT 5070-2012 水轮机金属蜗壳现场制造安装及焊接工艺导则.pdf,/data2/统计包含关键词的文件/final/DLT 5070-2012 水轮机金属蜗壳现场制造安装及焊接工艺导则.pdf,/data2/统计包含关键词的文件/final,1736860,1.66 MB,2025-02-21 10:30:02
低压水轮发电机组运行与维修 第二版.pdf,/data2/统计包含关键词的文件/final/低压水轮发电机组运行与维修 第二版.pdf,/data2/统计包含关键词的文件/final,91705067,87.46 MB,2025-09-03 11:13:49
广西壮族自治区人民政府关于印发广西壮族自治区碳达峰实施方案的通知（桂政发〔2022〕37号）.pdf,/data2/统计包含关键词的文件/final/广西壮族自治区人民政府关于印发广西壮族自治区碳达峰实施方案的通知（桂政发〔2022〕37号）.pdf,/data2/统计包含关键词的文件/final,1978113,1.89 MB,2025-09-03 12:21:02
环办环评〔2022〕31号 关于印发钢铁_焦化、现代煤化工、石化、火电四个行业建设项目环境影响评价文件审批原则的通知.pdf,/data2/统计包含关键词的文件/final/环办环评〔2022〕31号 关于印发钢铁_焦化、现代煤化工、石化、火电四个行业建设项目环境影响评价文件审批原则的通知.pdf,/data2/统计包含关键词的文件/final,615500,601.07 KB,2025-04-10 17:59:11
联合动力UP121-2000-风电机组精细化维护手册.pdf,/data2/统计包含关键词的文件/final/联合动力UP121-2000-风电机组精细化维护手册.pdf,/data2/统计包含关键词的文件/final,3416953,3.26 MB,2025-08-19 15:10:52
DLT 1302-2013 抽水蓄能机组静止变频装置运行规程(OCR).pdf,/data2/统计包含关键词的文件/final/DLT 1302-2013 抽水蓄能机组静止变频装置运行规程(OCR).pdf,/data2/统计包含关键词的文件/final,10211407,9.74 MB,2025-02-21 10:42:36
YWX-200SZ油雾分离器说明书.pdf,/data2/统计包含关键词的文件/final/YWX-200SZ油雾分离器说明书.pdf,/data2/统计包含关键词的文件/final,203809,199.03 KB,2016-07-08 11:16:38
观音岩水电站2022年3号水轮发电机组及其附属设备C级检修管理手册.docx,/data2/统计包含关键词的文件/final/观音岩水电站2022年3号水轮发电机组及其附属设备C级检修管理手册.docx,/data2/统计包含关键词的文件/final,2430161,2.32 MB,2021-08-17 08:39:46
核电厂鼓形旋转滤网技术条件.pdf,/data2/统计包含关键词的文件/final/核电厂鼓形旋转滤网技术条件.pdf,/data2/统计包含关键词的文件/final,667139,651.50 KB,2025-02-17 19:08:41
GBT 33009.3-2016 工业自动化和控制系统网络安全 集散控制系统（DCS）第3部分：评估指南.pdf,/data2/统计包含关键词的文件/final/GBT 33009.3-2016 工业自动化和控制系统网络安全 集散控制系统（DCS）第3部分：评估指南.pdf,/data2/统计包含关键词的文件/final,992049,968.80 KB,2025-02-18 09:41:21
GB 18597-2023 危险废物贮存污染控制标准.pdf,/data2/统计包含关键词的文件/final/GB 18597-2023 危险废物贮存污染控制标准.pdf,/data2/统计包含关键词的文件/final,378833,369.95 KB,2024-09-25 10:34:50
南方电网公司[2007]   继电保护及有关二次回路验收规范.pdf,/data2/统计包含关键词的文件/final/南方电网公司[2007]   继电保护及有关二次回路验收规范.pdf,/data2/统计包含关键词的文件/final,566581,553.30 KB,2025-02-21 11:10:16
QCDT-GYYHPC 1118-2022.ZY01 逆变电源（UPS）系统检修作业指导书.pdf,/data2/统计包含关键词的文件/final/QCDT-GYYHPC 1118-2022.ZY01 逆变电源（UPS）系统检修作业指导书.pdf,/data2/统计包含关键词的文件/final,513656,501.62 KB,2022-11-15 21:46:48
06 用户说明书-250主配.PDF,/data2/统计包含关键词的文件/final/06 用户说明书-250主配.PDF,/data2/统计包含关键词的文件/final,631639,616.83 KB,2016-01-01 15:06:20
5号机组流道充水及各冷却供水系统通水试验方案（李青安）.docx,/data2/统计包含关键词的文件/final/5号机组流道充水及各冷却供水系统通水试验方案（李青安）.docx,/data2/统计包含关键词的文件/final,83408,81.45 KB,2020-10-31 15:00:14
GB+30078-2013.pdf,/data2/统计包含关键词的文件/final/GB+30078-2013.pdf,/data2/统计包含关键词的文件/final,629380,614.63 KB,2025-02-11 19:01:10
SJ-22D测速装置技术及使用说明书[V1.0].pdf,/data2/统计包含关键词的文件/final/SJ-22D测速装置技术及使用说明书[V1.0].pdf,/data2/统计包含关键词的文件/final,140407,137.12 KB,2009-05-11 15:58:20
GB+26851-2011.pdf,/data2/统计包含关键词的文件/final/GB+26851-2011.pdf,/data2/统计包含关键词的文件/final,431210,421.10 KB,2025-02-11 18:51:17
QCDT-GYYHPC 103367-2022 高压配电装置检修工艺规程.pdf,/data2/统计包含关键词的文件/final/QCDT-GYYHPC 103367-2022 高压配电装置检修工艺规程.pdf,/data2/统计包含关键词的文件/final,355468,347.14 KB,2022-12-31 09:56:54
海洋石油安全生产规定.pdf,/data2/统计包含关键词的文件/final/海洋石油安全生产规定.pdf,/data2/统计包含关键词的文件/final,412259,402.60 KB,2025-03-10 14:25:29
GB+25520-2010.pdf,/data2/统计包含关键词的文件/final/GB+25520-2010.pdf,/data2/统计包含关键词的文件/final,406980,397.44 KB,2025-02-11 18:46:10
3-1-3（JGJ 59-2011）建筑施工安全检查标准.pdf,/data2/统计包含关键词的文件/final/3-1-3（JGJ 59-2011）建筑施工安全检查标准.pdf,/data2/统计包含关键词的文件/final,452348,441.75 KB,2025-09-03 11:50:48
2023安工《安全法规》模考讲评01（0413）【在线观看】.pdf,/data2/统计包含关键词的文件/final/2023安工《安全法规》模考讲评01（0413）【在线观看】.pdf,/data2/统计包含关键词的文件/final,1365968,1.30 MB,2025-03-17 13:54:38
TSG D7006—2020《压力管道监督检验规则》.pdf,/data2/统计包含关键词的文件/final/TSG D7006—2020《压力管道监督检验规则》.pdf,/data2/统计包含关键词的文件/final,526048,513.72 KB,2025-03-06 09:23:39
GB_T 13179-2008_硅(锂)X射线探测器系统.pdf,/data2/统计包含关键词的文件/final/GB_T 13179-2008_硅(锂)X射线探测器系统.pdf,/data2/统计包含关键词的文件/final,4693384,4.48 MB,2024-05-28 14:16:14
2015监理工程师《三控》真题及答案（完整版）.pdf,/data2/统计包含关键词的文件/final/2015监理工程师《三控》真题及答案（完整版）.pdf,/data2/统计包含关键词的文件/final,3608684,3.44 MB,2025-03-13 14:44:59
远景能源EN2300-故障SC逻辑介绍及检修指导V1.0.pdf,/data2/统计包含关键词的文件/final/远景能源EN2300-故障SC逻辑介绍及检修指导V1.0.pdf,/data2/统计包含关键词的文件/final,1173716,1.12 MB,2025-08-19 15:06:42
Y-IPNSP0160 阳江核电厂1、2号机组安全相关系统和设备定期试验监督大纲-16.docx,/data2/统计包含关键词的文件/final/Y-IPNSP0160 阳江核电厂1、2号机组安全相关系统和设备定期试验监督大纲-16.docx,/data2/统计包含关键词的文件/final,5543563,5.29 MB,2025-08-13 15:36:37
GB 32047-2015_啤酒单位产品能源消耗限额.pdf,/data2/统计包含关键词的文件/final/GB 32047-2015_啤酒单位产品能源消耗限额.pdf,/data2/统计包含关键词的文件/final,329134,321.42 KB,2024-05-30 09:07:45
维斯塔斯V80-2000-Mk3.Mk4.Mk5-电气说明944901zh.pdf,/data2/统计包含关键词的文件/final/维斯塔斯V80-2000-Mk3.Mk4.Mk5-电气说明944901zh.pdf,/data2/统计包含关键词的文件/final,232421,226.97 KB,2025-08-19 15:05:22
附件1.3号机组A级检修管理手册.docx,/data2/统计包含关键词的文件/final/附件1.3号机组A级检修管理手册.docx,/data2/统计包含关键词的文件/final,547535,534.70 KB,2023-02-12 14:22:40
GYY-EC-2024-#4G-上-02+4号机计算机监控系统检修报告.pdf,/data2/统计包含关键词的文件/final/GYY-EC-2024-#4G-上-02+4号机计算机监控系统检修报告.pdf,/data2/统计包含关键词的文件/final,619684,605.16 KB,2024-04-24 09:08:06
维斯塔斯V52-850-944673ZH紧急停机.pdf,/data2/统计包含关键词的文件/final/维斯塔斯V52-850-944673ZH紧急停机.pdf,/data2/统计包含关键词的文件/final,77339,75.53 KB,2025-08-19 15:05:20
QCDT-GYYHPC 1181-2022 弹簧管式一般压力表、压力真空表及真空表检定规程.pdf,/data2/统计包含关键词的文件/final/QCDT-GYYHPC 1181-2022 弹簧管式一般压力表、压力真空表及真空表检定规程.pdf,/data2/统计包含关键词的文件/final,377118,368.28 KB,2022-11-15 14:06:16
QCDT-GYYHPC 1128-2022 低压气系统检修规程.pdf,/data2/统计包含关键词的文件/final/QCDT-GYYHPC 1128-2022 低压气系统检修规程.pdf,/data2/统计包含关键词的文件/final,502624,490.84 KB,2022-11-15 11:26:30
4号发电机电气一次部分有限空间作业四措两案.docx2024.docx,/data2/统计包含关键词的文件/final/4号发电机电气一次部分有限空间作业四措两案.docx2024.docx,/data2/统计包含关键词的文件/final,76300,74.51 KB,2024-01-25 11:49:34
中国安全生产大数据平台-知识库14.pdf,/data2/统计包含关键词的文件/final/中国安全生产大数据平台-知识库14.pdf,/data2/统计包含关键词的文件/final,1549852,1.48 MB,2025-03-10 14:10:10
QCDT-GYYHPC 1116-2022 10kV系统保护装置及开关控制回路检修规程.pdf,/data2/统计包含关键词的文件/final/QCDT-GYYHPC 1116-2022 10kV系统保护装置及开关控制回路检修规程.pdf,/data2/统计包含关键词的文件/final,509082,497.15 KB,2022-11-15 20:59:38
歌美飒2.0MW- 203 液压组件压力低故障.pdf,/data2/统计包含关键词的文件/final/歌美飒2.0MW- 203 液压组件压力低故障.pdf,/data2/统计包含关键词的文件/final,80127,78.25 KB,2025-08-19 15:06:06
维斯塔斯V80(V90)-2000-Mk7-风机安装之前存储手册.pdf,/data2/统计包含关键词的文件/final/维斯塔斯V80(V90)-2000-Mk7-风机安装之前存储手册.pdf,/data2/统计包含关键词的文件/final,234417,228.92 KB,2025-08-19 15:06:10
QCDT-GYYHPC 1060-2022.ZY01 主变压器保护装置检修作业指导书.pdf,/data2/统计包含关键词的文件/final/QCDT-GYYHPC 1060-2022.ZY01 主变压器保护装置检修作业指导书.pdf,/data2/统计包含关键词的文件/final,449440,438.91 KB,2022-11-15 19:18:46
Removed_第6课习题答案（案例点74-88）4月8日.pdf,/data2/统计包含关键词的文件/final/Removed_第6课习题答案（案例点74-88）4月8日.pdf,/data2/统计包含关键词的文件/final,320536,313.02 KB,2025-03-13 14:23:40
GB+12955-2024.pdf,/data2/统计包含关键词的文件/final/GB+12955-2024.pdf,/data2/统计包含关键词的文件/final,666450,650.83 KB,2025-02-11 19:47:25
观音岩公司1号发电机电气一次有限空间作业三措两案.docx,/data2/统计包含关键词的文件/final/观音岩公司1号发电机电气一次有限空间作业三措两案.docx,/data2/统计包含关键词的文件/final,107922,105.39 KB,2021-12-06 17:29:38
WS油混水变送器.PDF,/data2/统计包含关键词的文件/final/WS油混水变送器.PDF,/data2/统计包含关键词的文件/final,615015,600.60 KB,2016-01-01 15:06:00
GB／T 5231—2022 加工铜及铜合金牌号和化学成分.pdf,/data2/统计包含关键词的文件/final/GB／T 5231—2022 加工铜及铜合金牌号和化学成分.pdf,/data2/统计包含关键词的文件/final,3807474,3.63 MB,2025-05-14 11:16:55
压水堆核电厂用合金钢  第5部分：反应堆压力容器封头用锰-镍-钼钢锻件.pdf,/data2/统计包含关键词的文件/final/压水堆核电厂用合金钢  第5部分：反应堆压力容器封头用锰-镍-钼钢锻件.pdf,/data2/统计包含关键词的文件/final,2400182,2.29 MB,2025-02-17 18:52:22
2-3-14 （电建质监[2011]92号） 电力建设工程质量监督检查典型大纲（光伏发电部分）.pdf,/data2/统计包含关键词的文件/final/2-3-14 （电建质监[2011]92号） 电力建设工程质量监督检查典型大纲（光伏发电部分）.pdf,/data2/统计包含关键词的文件/final,879410,858.80 KB,2025-09-03 12:21:22
GB 29139-2012_磷酸二铵单位产品能源消耗限额.pdf,/data2/统计包含关键词的文件/final/GB 29139-2012_磷酸二铵单位产品能源消耗限额.pdf,/data2/统计包含关键词的文件/final,382648,373.68 KB,2024-05-30 09:07:18
GB 18176-2016 轻便摩托车污染物排放限值及测量方法（中国第四阶段）.pdf,/data2/统计包含关键词的文件/final/GB 18176-2016 轻便摩托车污染物排放限值及测量方法（中国第四阶段）.pdf,/data2/统计包含关键词的文件/final,2005452,1.91 MB,2024-09-25 10:34:31
GB+11930-2010.pdf,/data2/统计包含关键词的文件/final/GB+11930-2010.pdf,/data2/统计包含关键词的文件/final,423768,413.84 KB,2025-02-11 18:45:31
机电一体化DLDS-500AR招标要求 2019.03.04审阅(1).docx,/data2/统计包含关键词的文件/final/机电一体化DLDS-500AR招标要求 2019.03.04审阅(1).docx,/data2/统计包含关键词的文件/final,41910,40.93 KB,2024-03-28 18:04:18
GB 8702-2014 电磁环境控制限值.pdf,/data2/统计包含关键词的文件/final/GB 8702-2014 电磁环境控制限值.pdf,/data2/统计包含关键词的文件/final,215062,210.02 KB,2025-04-10 17:56:42
QCDT-GYYHPC 1054-2022.ZY01 电动机检修及试验作业指导书.pdf,/data2/统计包含关键词的文件/final/QCDT-GYYHPC 1054-2022.ZY01 电动机检修及试验作业指导书.pdf,/data2/统计包含关键词的文件/final,323910,316.32 KB,2022-11-15 19:18:34
2023监理《概论》真题及解析.pdf,/data2/统计包含关键词的文件/final/2023监理《概论》真题及解析.pdf,/data2/统计包含关键词的文件/final,339236,331.29 KB,2025-03-13 14:44:07
歌美飒2.0MW– 转子的环境，速度和位置传感器 – 描述.pdf,/data2/统计包含关键词的文件/final/歌美飒2.0MW– 转子的环境，速度和位置传感器 – 描述.pdf,/data2/统计包含关键词的文件/final,1175040,1.12 MB,2025-08-19 15:06:04
中级注册安全工程师-安全生产法律法规-考点精讲-第6章-安全生产行政法规_.pdf,/data2/统计包含关键词的文件/final/中级注册安全工程师-安全生产法律法规-考点精讲-第6章-安全生产行政法规_.pdf,/data2/统计包含关键词的文件/final,2859135,2.73 MB,2025-03-17 15:00:46
歌美飒2.0MW – 叶片 – 维护.pdf,/data2/统计包含关键词的文件/final/歌美飒2.0MW – 叶片 – 维护.pdf,/data2/统计包含关键词的文件/final,14542968,13.87 MB,2025-08-19 15:06:04
精细化工产品配方与工艺(一) (第二版).pdf,/data2/统计包含关键词的文件/final/精细化工产品配方与工艺(一) (第二版).pdf,/data2/统计包含关键词的文件/final,104773483,99.92 MB,2024-03-28 18:14:19
大唐观音岩设〔2020〕360号--附件3：观音岩水电站2020年5号水轮发电机组及其附属设备C级检修修前设备状态分析.docx,/data2/统计包含关键词的文件/final/大唐观音岩设〔2020〕360号--附件3：观音岩水电站2020年5号水轮发电机组及其附属设备C级检修修前设备状态分析.docx,/data2/统计包含关键词的文件/final,54232,52.96 KB,2020-11-15 10:07:30
GB+30981-2020.pdf,/data2/统计包含关键词的文件/final/GB+30981-2020.pdf,/data2/统计包含关键词的文件/final,1349509,1.29 MB,2025-02-11 19:17:08
500kV 5021、5022断路器机械特性在线监测系统安装三措两案(1).docx,/data2/统计包含关键词的文件/final/500kV 5021、5022断路器机械特性在线监测系统安装三措两案(1).docx,/data2/统计包含关键词的文件/final,8645433,8.24 MB,2022-11-22 08:53:04
汇川变频器报警处理方法.pdf,/data2/统计包含关键词的文件/final/汇川变频器报警处理方法.pdf,/data2/统计包含关键词的文件/final,117567,114.81 KB,2024-03-28 18:03:12
中国安全生产大数据平台-知识库573.pdf,/data2/统计包含关键词的文件/final/中国安全生产大数据平台-知识库573.pdf,/data2/统计包含关键词的文件/final,1614648,1.54 MB,2025-03-10 14:16:30
QCDT-GYYHPC 1129-2022.ZY01 中压空压机检修作业指导书.pdf,/data2/统计包含关键词的文件/final/QCDT-GYYHPC 1129-2022.ZY01 中压空压机检修作业指导书.pdf,/data2/统计包含关键词的文件/final,350921,342.70 KB,2022-11-15 11:27:42
QCDT-GYYHPC 103043-2022  20kV 3号机励磁变设备试验作业指导书（朱旭）.pdf,/data2/统计包含关键词的文件/final/QCDT-GYYHPC 103043-2022  20kV 3号机励磁变设备试验作业指导书（朱旭）.pdf,/data2/统计包含关键词的文件/final,620477,605.93 KB,2023-01-17 16:36:28
GBT 38270-2019 建筑施工机械与设备 移动式拆除机械 安全要求.pdf,/data2/统计包含关键词的文件/final/GBT 38270-2019 建筑施工机械与设备 移动式拆除机械 安全要求.pdf,/data2/统计包含关键词的文件/final,1926276,1.84 MB,2025-03-04 12:13:03
62.机械设计.邱宣怀.第4版.pdf,/data2/统计包含关键词的文件/final/62.机械设计.邱宣怀.第4版.pdf,/data2/统计包含关键词的文件/final,11047306,10.54 MB,2024-03-28 20:40:41
GB 17681-2024 危险化学品重大危险源安全监控技术规范.pdf,/data2/统计包含关键词的文件/final/GB 17681-2024 危险化学品重大危险源安全监控技术规范.pdf,/data2/统计包含关键词的文件/final,534793,522.26 KB,2025-03-04 10:45:47
QCDT-GYYHPC 1186-2022 水工作业安全规程 .pdf,/data2/统计包含关键词的文件/final/QCDT-GYYHPC 1186-2022 水工作业安全规程 .pdf,/data2/统计包含关键词的文件/final,599097,585.06 KB,2022-11-15 14:17:00
GB+30756-2014.pdf,/data2/统计包含关键词的文件/final/GB+30756-2014.pdf,/data2/统计包含关键词的文件/final,3272387,3.12 MB,2025-02-11 19:02:37
Y-LDNSP0210 阳江核电厂3、4号机组技术规格书解释-10.doc,/data2/统计包含关键词的文件/final/Y-LDNSP0210 阳江核电厂3、4号机组技术规格书解释-10.doc,/data2/统计包含关键词的文件/final,3713129,3.54 MB,2025-08-13 15:36:43
中华人民共和国防治海岸工程建设项目污染损害海洋环境管理条例.docx,/data2/统计包含关键词的文件/final/中华人民共和国防治海岸工程建设项目污染损害海洋环境管理条例.docx,/data2/统计包含关键词的文件/final,24655,24.08 KB,2025-11-17 09:15:16
GBT 15153.1-1998 远动设备及系统 第2部分：工作条件 第1篇：电源和电磁兼容兼容性.pdf,/data2/统计包含关键词的文件/final/GBT 15153.1-1998 远动设备及系统 第2部分：工作条件 第1篇：电源和电磁兼容兼容性.pdf,/data2/统计包含关键词的文件/final,1843859,1.76 MB,2025-11-17 09:59:23
GB 11984-2024 化工企业氯气安全技术规范.pdf,/data2/统计包含关键词的文件/final/GB 11984-2024 化工企业氯气安全技术规范.pdf,/data2/统计包含关键词的文件/final,387495,378.41 KB,2025-03-04 10:43:10
GYY-EC-2024-#2G-上-19+500kV 5011、5012断路器GIS现地控制装置检修报告.pdf,/data2/统计包含关键词的文件/final/GYY-EC-2024-#2G-上-19+500kV 5011、5012断路器GIS现地控制装置检修报告.pdf,/data2/统计包含关键词的文件/final,328727,321.02 KB,2024-05-22 16:56:36
DL／T 1056—2019 发电厂热工仪表及控制系统技术监督导则.pdf,/data2/统计包含关键词的文件/final/DL／T 1056—2019 发电厂热工仪表及控制系统技术监督导则.pdf,/data2/统计包含关键词的文件/final,9477439,9.04 MB,2025-05-29 16:47:51
